Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)

10.000000	0.000070	0.010049	0.010050	57.162670	5.912114	2.041469	168.756028	168.756028	168.756028	3.174909	0.000237	2.830000	1.333251	0.478678	10.199644
10.144045	0.000072	0.010194	0.010194	57.411633	5.915477	2.041591	168.591331	168.591331	168.591331	3.177130	0.000251	2.830000	1.331865	0.478406	10.348607
10.290166	0.000074	0.010341	0.010341	57.660608	5.918944	2.041715	168.424144	168.424144	168.424144	3.179413	0.000266	2.830000	1.330439	0.478126	10.499803
10.438391	0.000076	0.010490	0.010490	57.909594	5.922519	2.041843	168.254425	168.254425	168.254425	3.181761	0.000282	2.830000	1.328971	0.477837	10.653268
10.588751	0.000079	0.010641	0.010641	58.158593	5.926205	2.041973	168.082133	168.082133	168.082133	3.184175	0.000299	2.830000	1.327461	0.477540	10.809038
10.741277	0.000081	0.010794	0.010794	58.407604	5.930006	2.042107	167.907224	167.907224	167.907224	3.186656	0.000317	2.830000	1.325906	0.477234	10.967151
10.896000	0.000083	0.010950	0.010950	58.656627	5.933925	2.042243	167.729655	167.729655	167.729655	3.189208	0.000336	2.830000	1.324306	0.476919	11.127644
11.052951	0.000086	0.011107	0.011108	58.905662	5.937967	2.042382	167.549383	167.549383	167.549383	3.191830	0.000356	2.830000	1.322659	0.476594	11.290556
11.212164	0.000088	0.011267	0.011268	59.154710	5.942136	2.042524	167.366361	167.366361	167.366361	3.194527	0.000378	2.830000	1.320964	0.476260	11.455926
11.373670	0.000091	0.011430	0.011430	59.403771	5.946436	2.042669	167.180544	167.180544	167.180544	3.197298	0.000401	2.830000	1.319219	0.475915	11.623794
11.537502	0.000093	0.011594	0.011595	59.652844	5.950871	2.042817	166.991885	166.991885	166.991885	3.200147	0.000425	2.830000	1.317423	0.475561	11.794202
11.703695	0.000096	0.011761	0.011762	59.901929	5.955446	2.042968	166.800336	166.800336	166.800336	3.203076	0.000451	2.830000	1.315575	0.475195	11.967190
11.872281	0.000099	0.011931	0.011931	60.151028	5.960166	2.043122	166.605847	166.605847	166.605847	3.206086	0.000478	2.830000	1.313673	0.474819	12.142801
12.043295	0.000102	0.012102	0.012103	60.400139	5.965036	2.043279	166.408368	166.408368	166.408368	3.209180	0.000507	2.830000	1.311716	0.474431	12.321078
12.216773	0.000105	0.012277	0.012277	60.649263	5.970060	2.043440	166.207849	166.207849	166.207849	3.212360	0.000538	2.830000	1.309701	0.474032	12.502065
12.392750	0.000108	0.012454	0.012454	60.898400	5.975245	2.043603	166.004238	166.004238	166.004238	3.215628	0.000570	2.830000	1.307628	0.473621	12.685807
12.571262	0.000111	0.012633	0.012633	61.147549	5.980595	2.043769	165.797480	165.797480	165.797480	3.218987	0.000605	2.830000	1.305493	0.473197	12.872350
12.752345	0.000114	0.012815	0.012815	61.396711	5.986116	2.043939	165.587523	165.587523	165.587523	3.222439	0.000642	2.830000	1.303297	0.472761	13.061740
12.936037	0.000117	0.012999	0.013000	61.645886	5.991816	2.044111	165.374309	165.374309	165.374309	3.225985	0.000681	2.830000	1.301036	0.472311	13.254025
13.122374	0.000121	0.013187	0.013187	61.895073	5.997698	2.044286	165.157783	165.157783	165.157783	3.229630	0.000722	2.830000	1.298709	0.471848	13.449253
13.311396	0.000124	0.013377	0.013377	62.144273	6.003771	2.044464	164.937887	164.937887	164.937887	3.233375	0.000766	2.830000	1.296314	0.471370	13.647474
13.503140	0.000128	0.013569	0.013570	62.393484	6.010041	2.044646	164.714561	164.714561	164.714561	3.237222	0.000813	2.830000	1.293850	0.470879	13.848737
13.697647	0.000131	0.013765	0.013765	62.642708	6.016514	2.044830	164.487746	164.487746	164.487746	3.241175	0.000863	2.830000	1.291313	0.470372	14.053095
13.894955	0.000135	0.013963	0.013964	62.891943	6.023199	2.045016	164.257378	164.257378	164.257378	3.245236	0.000916	2.830000	1.288702	0.469850	14.260600
14.095105	0.000139	0.014164	0.014165	63.141189	6.030102	2.045206	164.023396	164.023396	164.023396	3.249408	0.000972	2.830000	1.286015	0.469312	14.471305
14.298139	0.000143	0.014368	0.014369	63.390446	6.037232	2.045398	163.785734	163.785734	163.785734	3.253693	0.001031	2.830000	1.283249	0.468758	14.685264
14.504097	0.000147	0.014575	0.014576	63.639714	6.044596	2.045593	163.544327	163.544327	163.544327	3.258095	0.001095	2.830000	1.280403	0.468187	14.902533
14.713021	0.000152	0.014785	0.014786	63.888992	6.052204	2.045790	163.299106	163.299106	163.299106	3.262616	0.001162	2.830000	1.277473	0.467598	15.123169
14.924955	0.000156	0.014998	0.014999	64.138279	6.060065	2.045989	163.050004	163.050004	163.050004	3.267259	0.001234	2.830000	1.274458	0.466992	15.347229
15.139942	0.000161	0.015214	0.015215	64.387575	6.068187	2.046191	162.796950	162.796950	162.796950	3.272027	0.001310	2.830000	1.271355	0.466367	15.574773
15.358026	0.000165	0.015433	0.015434	64.636879	6.076580	2.046394	162.539871	162.539871	162.539871	3.276923	0.001391	2.830000	1.268161	0.465722	15.805860
15.579251	0.000170	0.015655	0.015656	64.886191	6.085255	2.046599	162.278694	162.278694	162.278694	3.281950	0.001477	2.830000	1.264875	0.465059	16.040552
15.803663	0.000175	0.015881	0.015882	65.135510	6.094222	2.046807	162.013343	162.013343	162.013343	3.287111	0.001568	2.830000	1.261492	0.464374	16.278911
16.031307	0.000180	0.016109	0.016110	65.384835	6.103492	2.047015	161.743741	161.743741	161.743741	3.292409	0.001665	2.830000	1.258010	0.463669	16.521000
16.262231	0.000185	0.016341	0.016342	65.634164	6.113077	2.047225	161.469810	161.469810	161.469810	3.297848	0.001769	2.830000	1.254428	0.462942	16.766886
16.496481	0.000191	0.016577	0.016578	65.883497	6.122989	2.047435	161.191468	161.191468	161.191468	3.303431	0.001879	2.830000	1.250740	0.462193	17.016633
16.734105	0.000196	0.016815	0.016817	66.132833	6.133241	2.047647	160.908632	160.908632	160.908632	3.309160	0.001996	2.830000	1.246946	0.461420	17.270310
16.975152	0.000202	0.017058	0.017059	66.382170	6.143844	2.047858	160.621219	160.621219	160.621219	3.315040	0.002120	2.830000	1.243040	0.460624	17.527986
17.219671	0.000208	0.017303	0.017305	66.631506	6.154815	2.048070	160.329142	160.329142	160.329142	3.321072	0.002253	2.830000	1.239022	0.459803	17.789730
17.467712	0.000214	0.017552	0.017554	66.880841	6.166166	2.048281	160.032311	160.032311	160.032311	3.327262	0.002394	2.830000	1.234886	0.458956	18.055615
17.719326	0.000220	0.017805	0.017807	67.130173	6.177913	2.048492	159.730637	159.730637	159.730637	3.333612	0.002544	2.830000	1.230630	0.458084	18.325712
17.974565	0.000226	0.018062	0.018063	67.379499	6.190072	2.048702	159.424027	159.424027	159.424027	3.340125	0.002704	2.830000	1.226250	0.457184	18.600098
18.233480	0.000233	0.018322	0.018323	67.628818	6.202659	2.048910	159.112385	159.112385	159.112385	3.346805	0.002875	2.830000	1.221744	0.456256	18.878847
18.496125	0.000240	0.018586	0.018587	67.878128	6.215693	2.049115	158.795615	158.795615	158.795615	3.353655	0.003056	2.830000	1.217106	0.455299	19.162036
18.762553	0.000247	0.018853	0.018855	68.127426	6.229190	2.049318	158.473616	158.473616	158.473616	3.360679	0.003249	2.830000	1.212335	0.454313	19.449745
19.032818	0.000254	0.019125	0.019126	68.376709	6.243170	2.049518	158.146287	158.146287	158.146287	3.367880	0.003455	2.830000	1.207425	0.453295	19.742053
19.306977	0.000261	0.019400	0.019402	68.625976	6.257654	2.049714	157.813523	157.813523	157.813523	3.375260	0.003675	2.830000	1.202373	0.452246	20.039042
19.585085	0.000269	0.019680	0.019681	68.875222	6.272662	2.049905	157.475218	157.475218	157.475218	3.382824	0.003909	2.830000	1.197176	0.451164	20.340794
19.867199	0.000277	0.019963	0.019965	69.124446	6.288217	2.050091	157.131262	157.131262	157.131262	3.390575	0.004158	2.830000	1.191828	0.450048	20.647395
20.153377	0.000285	0.020250	0.020252	69.373642	6.304342	2.050271	156.781544	156.781544	156.781544	3.398516	0.004424	2.830000	1.186326	0.448897	20.958931
20.443677	0.000293	0.020542	0.020544	69.622809	6.321061	2.050443	156.425947	156.425947	156.425947	3.406649	0.004708	2.830000	1.180667	0.447710	21.275487
20.738158	0.000301	0.020838	0.020840	69.871941	6.338400	2.050608	156.064356	156.064356	156.064356	3.414979	0.005011	2.830000	1.174844	0.446485	21.597154
21.036882	0.000310	0.021138	0.021140	70.121035	6.356387	2.050764	155.696650	155.696650	155.696650	3.423508	0.005334	2.830000	1.168855	0.445221	21.924022
21.339908	0.000319	0.021442	0.021445	70.370086	6.375050	2.050909	155.322706	155.322706	155.322706	3.432239	0.005679	2.830000	1.162694	0.443918	22.256182
21.647300	0.000328	0.021751	0.021754	70.619089	6.394419	2.051044	154.942398	154.942398	154.942398	3.441175	0.006047	2.830000	1.156358	0.442573	22.593726
21.959119	0.000338	0.022064	0.022067	70.868038	6.414525	2.051166	154.555597	154.555597	154.555597	3.450318	0.006440	2.830000	1.149841	0.441186	22.936750
22.275430	0.000348	0.022382	0.022385	71.116929	6.435403	2.051274	154.162171	154.162171	154.162171	3.459670	0.006859	2.830000	1.143138	0.439755	23.285348
22.596297	0.000358	0.022704	0.022707	71.365754	6.457088	2.051366	153.761986	153.761986	153.761986	3.469235	0.007308	2.830000	1.136246	0.438278	23.639618
22.921786	0.000368	0.023031	0.023034	71.614508	6.479618	2.051442	153.354902	153.354902	153.354902	3.479015	0.007787	2.830000	1.129158	0.436754	23.999657
23.251963	0.000379	0.023363	0.023366	71.863184	6.503031	2.051500	152.940780	152.940780	152.940780	3.489010	0.008300	2.830000	1.121871	0.435182	24.365565
23.586897	0.000390	0.023699	0.023702	72.111774	6.527370	2.051537	152.519474	152.519474	152.519474	3.499223	0.008848	2.830000	1.114379	0.433559	24.737440
23.926655	0.000401	0.024040	0.024044	72.360270	6.552679	2.051553	152.090836	152.090836	152.090836	3.509656	0.009434	2.830000	1.106677	0.431884	25.115383
24.271307	0.000413	0.024387	0.024390	72.608663	6.579004	2.051544	151.654716	151.654716	151.654716	3.520308	0.010061	2.830000	1.098760	0.430156	25.499497
24.620924	0.000425	0.024738	0.024741	72.856945	6.606396	2.051509	151.210960	151.210960	151.210960	3.531182	0.010733	2.830000	1.090623	0.428373	25.889882
24.975577	0.000437	0.025094	0.025098	73.105106	6.634908	2.051446	150.759408	150.759408	150.759408	3.542276	0.011452	2.830000	1.082260	0.426532	26.286642
25.335338	0.000450	0.025455	0.025459	73.353136	6.664595	2.051352	150.299902	150.299902	150.299902	3.553592	0.012222	2.830000	1.073667	0.424632	26.689879
25.700282	0.000463	0.025822	0.025826	73.601023	6.695516	2.051224	149.832274	149.832274	149.832274	3.565129	0.013047	2.830000	1.064839	0.422671	27.099695
26.070482	0.000476	0.026193	0.026198	73.848756	6.727735	2.051060	149.356359	149.356359	149.356359	3.576886	0.013932	2.830000	1.055769	0.420647	27.516192
26.446016	0.000490	0.026570	0.026575	74.096323	6.761319	2.050856	148.871984	148.871984	148.871984	3.588861	0.014880	2.830000	1.046454	0.418557	27.939473
26.826958	0.000504	0.026953	0.026958	74.343709	6.796339	2.050611	148.378975	148.378975	148.378975	3.601052	0.015898	2.830000	1.036887	0.416401	28.369639
27.213388	0.000519	0.027341	0.027346	74.590901	6.832872	2.050319	147.877154	147.877154	147.877154	3.613456	0.016990	2.830000	1.027064	0.414174	28.806788
27.605384	0.000534	0.027735	0.027740	74.837883	6.870998	2.049979	147.366338	147.366338	147.366338	3.626070	0.018162	2.830000	1.016979	0.411876	29.251020
28.003026	0.000549	0.028134	0.028139	75.084640	6.910805	2.049585	146.846344	146.846344	146.846344	3.638890	0.019422	2.830000	1.006629	0.409504	29.702431
28.406397	0.000565	0.028539	0.028545	75.331155	6.952385	2.049135	146.316983	146.316983	146.316983	3.651911	0.020775	2.830000	0.996007	0.407055	30.161113
28.815578	0.000582	0.028950	0.028956	75.577409	6.995837	2.048623	145.778065	145.778065	145.778065	3.665127	0.022231	2.830000	0.985109	0.404526	30.627158
29.230652	0.000599	0.029366	0.029373	75.823382	7.041267	2.048045	145.229395	145.229395	145.229395	3.678531	0.023796	2.830000	0.973931	0.401916	31.100652
29.651706	0.000616	0.029789	0.029796	76.069055	7.088788	2.047397	144.670776	144.670776	144.670776	3.692115	0.025481	2.830000	0.962469	0.399222	31.581678
30.078825	0.000634	0.030218	0.030225	76.314406	7.138522	2.046674	144.102008	144.102008	144.102008	3.705870	0.027295	2.830000	0.950718	0.396441	32.070313
